App,review_date,review_description,rating,thumbsUpCount,developer_response,developer_response_date,appVersion,review_month
Zomato,2023-07-15 15:53:12,"Worst experience, I didn't get all the food items in my second order. Sweet things were missing. And there is no cancel or order change option in the app, even order cancellation is refused on chat only after 2 minutes.",1,22,"Hi there, we are really sorry for the bad experience. Please write to us at psreviewsupport@zomato.com and we’ll get this checked immediately.",2023-07-21 08:01:10,17.5.9,2023-07
Zomato,2023-07-25 09:09:24,"No customer support process, for any issue they take 3 days to reply, if an order is missing no way to track or follow up and they want extra money for membership. first they should have basic customer support, Swiggy membership cost a little higher but excellent customer support",1,0,,,17.6.0,2023-07
Zomato,2023-05-12 17:51:32,"Great delivery app. But off lately there have been so many poor experiences with delivery and you can't get in touch with a customer executive. Again, even if you cancel the order within a minute or two, they charge a complete cancellation fee. Used to have great deals, don't even see much of them nowadays.",2,223,,,17.4.8,2023-05
Zomato,2023-07-20 15:59:04,It's really good and amazing. Every time I feel hungry i think about only Zomato there is a lot of reason for appreciation this app but one thing is need to be improve that was delivery time. I hope Zomato will resolve it. Overall service and food both are amazing.,4,0,,,17.6.0,2023-07
Zomato,2023-07-23 11:46:01,"The coupon for late delivery for gold members is a hoax. The order gets stuck on the payment portal, refreshes and then you can't use the coupon anymore as it just keeps showing the refreshed order as pending. Also no response from customer support whatsoever.",1,1,"Hi there, we are really sorry for the bad experience. Please write to us at psreviewsupport@zomato.com and we’ll get this checked immediately.",2023-07-23 11:48:07,17.6.0,2023-07
Zomato,2023-07-03 12:46:02,"Big cheaters. Happened multiple times with me. I have gold membership for which I paid upfront cost as well. I am removing this application. They delivered incorrect orders to me and when I requested them to return it then they said its not possible. They were trying to compensate it with a small refund amount instead of taking returns. I wonder why would customer bear the loss for mistakes made by restaurant partners. Plus, for every item they sell, most of the items are overcharged.",1,47,"Hi Ankit, sorry to hear about that. Please write to us at psreviewsupport@zomato.com and we'll reach out to you at the earliest.
",2023-07-05 12:19:29,17.4.8,2023-07
Zomato,2023-07-16 20:19:46,Had ordered from KFC today. I had ordered for 2 double chicken wrap along with other sides. But received only 1 wrap. When raised a concern with Zomato they casu ally said the restaurant is closed and nothing can be done. There has been many a times where I'm facing the same issue with this app. I should have ordered from other apps where they provide a better resolution. Will never order from Zomato again. It's just a waste of money to have subscribed for gold membership.,1,13,"Hi Jai, sorry to hear about that. Please write to us at psreviewsupport@zomato.com and we'll reach out to you at the earliest.
",2023-07-21 08:47:18,17.6.0,2023-07
Zomato,2023-07-25 06:23:11,Very bad experience from Zomato. Chat executive didn't resolve the problem for the items missing from my order. They just simply told they can't do any thing. Going to uninstall it and make sure to never use Zomato in future.,1,0,"Hi there, we are really sorry for the bad experience. Please write to us at psreviewsupport@zomato.com and we’ll get this checked immediately.",2023-07-25 06:24:30,17.6.0,2023-07
Zomato,2023-07-14 15:01:58,I love zomato. Their deliveries are quick and coverage of restaurants quite vast. Edit 14-July: still great at restaurant coverage and delivery speed. The discounts aren't what they used to be though. A little improvement there perhaps.,5,9,"Hi Vinny, glad to hear that! Thank you for your feedback.",2022-12-13 10:33:25,17.5.9,2023-07
Zomato,2023-07-11 08:26:55,"Always show surge charges . What the hell with the low delivery partners. From last 1 year I have not see a single day without surge charges and offer have completely gone. And the irritating part is I just change delivery location to 400meter there are then enough available delivery partner. It's getting worse day by day, the only reason I still have this app on my phone is that there is no swiggy available near me. The day swiggy get active , Uninstalling is the first thing I will do.",1,16,"Hi there, we are really sorry for the bad experience. Please write to us at psreviewsupport@zomato.com and we’ll get this checked immediately.",2023-07-21 07:43:55,17.5.9,2023-07
Zomato,2023-06-17 14:23:16,"Your app and delivery everything is good. But there is one issue with zomato. Sometimes it was showing that my order is slightly delayed. But once the mentioned delivery period is over, I'm receiving a message that restaurant has been cancelled my order. Just imagine, one person had been waiting for almost one hour, after that receiving a message that his order has been cancelles. It happened to me twice. Even I complained to your customer care, I didn't find any resolution. Try to fix issue.",3,525,,,17.5.3,2023-06
Zomato,2023-07-22 13:17:07,Worst service I ordered the food 2 hours ago and it's still not delivered yet. Firstly the delivery partner stayed at one place for more than 50 minutes when I called him he was like I have 2 orders I can't deliver both so I'm waiting for someone else to pick up the other order and I can deliver yours.😒 Seriously I'll never use this app again. Worst experience,1,2,"Hi there, we are really sorry for the bad experience. Please write to us at psreviewsupport@zomato.com and we’ll get this checked immediately.",2023-07-22 13:18:45,17.6.0,2023-07
Zomato,2023-06-16 07:19:44,"Poor cust. Experience. I ordered items from a bakery that were all spilled. I clicked the images and when I wanted to share, I had an option to either upload images / video. And when I click that open there is only video recording. Then I am asked to send email to support which will resolve the issue in 72hours. That is a fake automated email and nothing has been done.",2,396,"Hi Priya, glad to hear that! Thank you for your feedback.",2022-06-16 10:59:51,17.5.3,2023-06
Zomato,2023-07-24 16:06:41,"It's can get way better with user friendliness...at times customer service is not good enough, the food doesn't come from restaurants or some items are missed and we are not attended to well. Customer is giving a rating as well on some criteria mentioned but how can customers get better or get perfect rating without knowing why rating is low or what score we got. Offers given are at times amazing and when you need one the mostly nothing comes by.",3,0,"Hi Olinda, sorry to hear about that. Please write to us at psreviewsupport@zomato.com and we'll reach out to you at the earliest.",2023-07-26 11:21:48,17.6.2,2023-07
Zomato,2023-06-04 18:23:12,"Zomato seems to have lost it recently. Have been facing multiple issues of orders being delayed for 3 or 4 hours, delivered items not being packed or sealed and even wrong item or sub quality item being delivered. What's worse is that they have taken down the option to contact customer support and instead has a bot support which is completely useless. If some issue happens with the order its almost impossible to get a fair support as the bot responds 'sorry for the inconvenience'.",1,296,,,17.5.1,2023-06
Zomato,2023-07-14 14:51:19,"worst app to order if you looking for a quick delivery. their customer support make false commitments , make you wait and abruptly cancel your citing non sensical reasons. Avoid. Update from July 2023. Again a similar incident. Again last moment cancellation, and the fun part is that I had to call them saying that the restaurant called for items out of stock, they were not even aware of it and happily listing it for sale. The executive seemed uncaring and arrogant as if it was not her problem.",1,30,"Hi there, we are really sorry for the bad experience. Please write to us at psreviewsupport@zomato.com and we’ll get this checked immediately.",2023-07-21 07:56:47,17.6.0,2023-07
Zomato,2023-06-07 16:19:55,"Worst customer service. I placed an order, it was not delivered and Zomato did not return the full amount, it's such a simple matter and I have been writing to to them from last one month no one bothers to even reply. Only I am getting an automated reply with a new ticket number everytime. Their customer service is worst among all other similar apps. I stopped using it now.",1,169,,,17.5.1,2023-06
Zomato,2023-07-06 16:27:00,"Poor customer support, There is no way to reach out to the support executive and mails are not responded. The customer experience was good earlier now it's the worst of all the food ordering apps. I have received wrong orders multiple times but they never provided a resolution.",1,28,,,17.5.8,2023-07
Zomato,2023-07-06 10:42:27,Overall quality is good and good experience but customer service is very bad and they have blocked my cash on delivery option and won't reply back to me. The app usually shows card decline but the order still somehow goes through overall the app is very faulty.,1,21,,,17.5.7,2023-07
Zomato,2023-07-12 17:08:50,"I recently had a truly disappointing experience while ordering food through Zomato. The delivery service took an incredibly exasperating amount of time, clocking in at nearly 1.30 hours. It was an ordeal to say the least. The delay left me feeling frustrated and hungry, and it completely tarnished my perception of Zomato's service. Promptness and efficiency are crucial in the food delivery industry, and Zomato failed miserably in this regard. Such a lengthy delay is unacceptable.",1,13,"Hi there, we are really sorry for the bad experience. Please write to us at psreviewsupport@zomato.com and we’ll get this checked immediately.",2023-07-21 07:50:18,17.5.8,2023-07
Zomato,2023-05-13 09:08:27,The app was absolutely great in the beginning. But since April2023 I have been experiencing delay in orders. The food ordered gets delivered much later than estimated time. There is also no option to directly rech customer support. They will conveniently push the blame on the restaurant or the delivery partner. But I believe they can make sure that the customer gets a call or message where they have an option to cancel or go ahead with order from another restaurant when there is a delay.,1,211,,,17.4.8,2023-05
Zomato,2023-07-13 20:36:13,Am so much disappointed with tha Zomato riders because they not picked the order on their time and then never check the order item it's completely or incomplete . One incident held with me yesterday I ordered 3 or 4 items but I received only 3 and when I contact with the Zomato then she refund me the price of the missing item but I didn't get complete money of the missing item and I sufred with lose I request you plss correct this mistakes ..,2,5,,,17.5.9,2023-07
Zomato,2023-07-09 16:08:35,"It's so ridiculous app ,literally every time we order the food we got always sad impact ,the food container is open and the food is just cold and when we are writing the issue to the team of Zomato they are not giving good response and every time the same response coming from them that next time it would be better but nothing is improved . They only give credits on Zomato which is not worth. The whole mood is spoiled every time ,never order from Zomato now ..just a rubbish app. Hate their servic",1,8,,,17.5.8,2023-07
Zomato,2023-07-16 16:38:25,"Worst app. Delivery partner doesn't reach out to me. It was late at night. Delivery partner refused to take order. Zomato didn't care, they didn't provide me another delivery partner. They just keep telling me that cancel and order again. How the heck I am going to order again if u are not going to deliver it.",1,6,"Hi there, we are really sorry for the bad experience. Please write to us at psreviewsupport@zomato.com and we’ll get this checked immediately.",2023-07-21 08:07:00,17.6.0,2023-07
Zomato,2023-07-16 19:56:08,"Very bad delivery app. wrong order delivered and when complained they are giving the coupon to order next time within limited period. They are refusing to give money refund. Also they are not providing COD option so as to trap customers by taking their money and if any issue comes, they will give coupon to customer to order from them again. Swiggy is better than zomato. i dont suggest zomato.",1,5,"Hi Maleka, sorry to hear about that. Please write to us at psreviewsupport@zomato.com and we'll reach out to you at the earliest.
",2023-07-21 10:43:19,17.6.0,2023-07
Zomato,2023-07-16 08:42:54,Very convenient to order from app. Only the cons is sometimes the tracking is not showing properly while keeping eye on Map. Also handling food by them is proper till now no issue. Has variety of options to choose from.,4,13,,,17.5.9,2023-07
Zomato,2023-06-01 15:55:43,"Deliveries have a habit of missing an item or two, usually the most expensive item ordered. Customer support can do nothing but copy paste ""we are sorry"" messages. No refunds are given for orders over two hours late. And then, after providing a terrible, unreccomendable service, they ask you to rate their app constantly. They call an hour later to notify you that there is a payment glitch and order cancelled. Absolute rubbish. All you ""service providers"" toy with customers and delivery agents.",1,339,,,17.5.1,2023-06
Zomato,2023-07-10 13:55:04,"You didn't deserve any rating. Zomato is doing frauds with the support of restaurant. Restaurant took t orders and didn't deliver. No call, No delivery person information. Money is already paid. But didn't receive order. In app it is showing delivered. Zomato support service is the worst service ever. No calls. No response. Waited for many hours.",1,7,"Hi there, we are really sorry for the bad experience. Please write to us at psreviewsupport@zomato.com and we’ll get this checked immediately.",2023-07-21 07:40:30,17.5.8,2023-07
Zomato,2023-06-04 09:40:01,"Extremely bad food app. Always shows higher rates than the usual food rate and charges for delivery after that, that too very steep. They also charge a surge fee even though there's no rush at restaurant. Their partners don't turn up at the restaurant and the app shows that the food is not ready whereas in reality the food is ready. Very patheti and their customer service is abysmal. It is always better to contact the restaurant directly than through Zomato. Swiggy is a lot better.",1,95,,,17.5.0,2023-06
Zomato,2023-07-15 07:27:59,"Day by day this app is giving worst experience. 1st restaurant & App rate for each dish is doubled, *pure cheating the customers*. 2nd while ordering from the selected outlet it shows 30-35 mins for delivery, once order placed post payment it will change to 60 to 70 mins dor delivery. Not worth for 1 star also for this cheating business.",1,5,"Hi Rashmi, sorry to hear about that. Please write to us at psreviewsupport@zomato.com and we'll reach out to you at the earliest.",2023-07-20 11:38:36,17.5.9,2023-07
Zomato,2023-06-13 15:16:26,"The support chat does not have the option to raise issues other than the limited issues listed by the bot. One has to choose an incorrect issue option to get to chat with a human being. Also, the delivery time indicated for each restaurant is misleading and actual delivery time is double of what is indicated. This is very disappointing.",1,252,,,17.5.2,2023-06
Zomato,2023-07-23 16:02:51,Being a shareholder i personally feel that the service are not upto the mark and the customer service is poor as we can't connect to a live agent for a chat and also gold membership is useless. If you are giving gold membership then give free delivery in blinkit also. Blinkit Zomato company is already currently unavailable or the product are out of stock always. I would recommend to give a good service like Swiggy and instamart option with a well maintained app and one membership.,1,0,"Hi Saurabh, we are really sorry for the bad experience. Please write to us at psreviewsupport@zomato.com and we'll get this checked immediately.",2023-07-26 11:04:09,17.6.2,2023-07
Zomato,2023-07-16 09:53:30,On-time guarantee is biggest fraud being run by Zomato. I did not receive 100% of order value as refund. Rather a very small insignificant amount. There is also no explanation on how they arrived at the refund value and there is no way to contact. I'll stop using Zomato after my Zomato gold expires. Thank you for terrible experience.,1,5,"Hi Anirudh, we are really sorry for the bad experience. Please write to us at psreviewsupport@zomato.com and we'll get this checked immediately.",2023-07-21 08:45:33,17.6.0,2023-07
